whonet_code,organism_name,snomed_code,kingdom,genus,species
4401,Acinetobacter calcoaceticus,82550008,Bacteria,Acinetobacter,calcoaceticus
4401,Acinetobacter calcoaceticus,1085301000112105,Bacteria,Acinetobacter,calcoaceticus
A.CALC,Acinetobacter calcoaceticus,82550008,Bacteria,Acinetobacter,calcoaceticus
A.CALC,Acinetobacter calcoaceticus,1085301000112105,Bacteria,Acinetobacter,calcoaceticus
ACA,Acinetobacter calcoaceticus,82550008,Bacteria,Acinetobacter,calcoaceticus
ACA,Acinetobacter calcoaceticus,1085301000112105,Bacteria,Acinetobacter,calcoaceticus
ACICAL,Acinetobacter calcoaceticus,82550008,Bacteria,Acinetobacter,calcoaceticus
ACICAL,Acinetobacter calcoaceticus,1085301000112105,Bacteria,Acinetobacter,calcoaceticus
ADI,Acinetobacter dijkshoorniae,787183008,Bacteria,Acinetobacter,dijkshoorniae
ACG,Acinetobacter guillouiae,700397005,Bacteria,Acinetobacter,guillouiae
ACIGYL,Acinetobacter gyllenbergii,450384008,Bacteria,Acinetobacter,gyllenbergii
A.HAE,Acinetobacter haemolyticus,77045006,Bacteria,Acinetobacter,haemolyticus
ACIHAE,Acinetobacter haemolyticus,77045006,Bacteria,Acinetobacter,haemolyticus
AHA,Acinetobacter haemolyticus,77045006,Bacteria,Acinetobacter,haemolyticus
A.JOH,Acinetobacter johnsonii,252000,Bacteria,Acinetobacter,johnsonii
A.JOH,Acinetobacter johnsonii,1085701000112109,Bacteria,Acinetobacter,johnsonii
ACIJOH,Acinetobacter johnsonii,252000,Bacteria,Acinetobacter,johnsonii
ACIJOH,Acinetobacter johnsonii,1085701000112109,Bacteria,Acinetobacter,johnsonii
AJO,Acinetobacter johnsonii,252000,Bacteria,Acinetobacter,johnsonii
AJO,Acinetobacter johnsonii,1085701000112109,Bacteria,Acinetobacter,johnsonii
A.JUN,Acinetobacter junii,13879009,Bacteria,Acinetobacter,junii
A.JUN,Acinetobacter junii,1085801000112101,Bacteria,Acinetobacter,junii
ACIJUN,Acinetobacter junii,13879009,Bacteria,Acinetobacter,junii
ACIJUN,Acinetobacter junii,1085801000112101,Bacteria,Acinetobacter,junii
AJU,Acinetobacter junii,13879009,Bacteria,Acinetobacter,junii
AJU,Acinetobacter junii,1085801000112101,Bacteria,Acinetobacter,junii
4403,Acinetobacter lwoffii,83088009,Bacteria,Acinetobacter,lwoffii
4403,Acinetobacter lwoffii,1085901000112106,Bacteria,Acinetobacter,lwoffii
A.LWO,Acinetobacter lwoffii,83088009,Bacteria,Acinetobacter,lwoffii
A.LWO,Acinetobacter lwoffii,1085901000112106,Bacteria,Acinetobacter,lwoffii
ACILWO,Acinetobacter lwoffii,83088009,Bacteria,Acinetobacter,lwoffii
ACILWO,Acinetobacter lwoffii,1085901000112106,Bacteria,Acinetobacter,lwoffii
ALW,Acinetobacter lwoffii,83088009,Bacteria,Acinetobacter,lwoffii
ALW,Acinetobacter lwoffii,1085901000112106,Bacteria,Acinetobacter,lwoffii
ACINOS,Acinetobacter nosocomialis,708859003,Bacteria,Acinetobacter,nosocomialis
ACINOS,Acinetobacter nosocomialis,1086001000112103,Bacteria,Acinetobacter,nosocomialis
ANO,Acinetobacter nosocomialis,708859003,Bacteria,Acinetobacter,nosocomialis
ANO,Acinetobacter nosocomialis,1086001000112103,Bacteria,Acinetobacter,nosocomialis
ACIPIT,Acinetobacter pittii,698244000,Bacteria,Acinetobacter,pittii
APT,Acinetobacter pittii,698244000,Bacteria,Acinetobacter,pittii
ACIPAR,Acinetobacter parvus,423516002,Bacteria,Acinetobacter,parvus
APA,Acinetobacter parvus,423516002,Bacteria,Acinetobacter,parvus
A.RADR,Acinetobacter radioresistens,113381003,Bacteria,Acinetobacter,radioresistens
A.RADR,Acinetobacter radioresistens,1086101000112102,Bacteria,Acinetobacter,radioresistens
ACIRAD,Acinetobacter radioresistens,113381003,Bacteria,Acinetobacter,radioresistens
ACIRAD,Acinetobacter radioresistens,1086101000112102,Bacteria,Acinetobacter,radioresistens
ARO,Acinetobacter radioresistens,113381003,Bacteria,Acinetobacter,radioresistens
ARO,Acinetobacter radioresistens,1086101000112102,Bacteria,Acinetobacter,radioresistens
ACISCH,Acinetobacter schindleri,423732001,Bacteria,Acinetobacter,schindleri
ASD,Acinetobacter schindleri,423732001,Bacteria,Acinetobacter,schindleri
ACISEI,Acinetobacter seifertii,787184002,Bacteria,Acinetobacter,seifertii
ASE,Acinetobacter seifertii,787184002,Bacteria,Acinetobacter,seifertii
ACIURS,Acinetobacter ursingii,424791004,Bacteria,Acinetobacter,ursingii
ACIURS,Acinetobacter ursingii,1086201000112108,Bacteria,Acinetobacter,ursingii
AUG,Acinetobacter ursingii,424791004,Bacteria,Acinetobacter,ursingii
AUG,Acinetobacter ursingii,1086201000112108,Bacteria,Acinetobacter,ursingii
ACE,Acetobacterium,423008000,Bacteria,Acetobacterium,
ACESPP,Acetobacterium,423008000,Bacteria,Acetobacterium,
3400,Actinobacillus,85851009,Bacteria,Actinobacillus,
ACB,Actinobacillus,85851009,Bacteria,Actinobacillus,
ACBSPP,Actinobacillus,85851009,Bacteria,Actinobacillus,
ACBURE,Actinobacillus,85851009,Bacteria,Actinobacillus,
ACT.SP,Actinobacillus,85851009,Bacteria,Actinobacillus,
AAM,Actinobaculum,114043007,Bacteria,Actinobaculum,
ACB.SP,Actinobaculum,114043007,Bacteria,Actinobaculum,
ACOSPP,Actinobaculum,114043007,Bacteria,Actinobaculum,
AM.SUI,Actinobaculum suis,114045000,Bacteria,Actinobaculum,suis
ATI,Actinobaculum suis,114045000,Bacteria,Actinobaculum,suis
A.CAP,Actinobacillus capsulatus,6695002,Bacteria,Actinobacillus,capsulatus
ACBCAP,Actinobacillus capsulatus,6695002,Bacteria,Actinobacillus,capsulatus
ACBEQU,Actinobacillus equuli,27165004,Bacteria,Actinobacillus,equuli
AEQ,Actinobacillus equuli,27165004,Bacteria,Actinobacillus,equuli
A.EQU,Actinobacillus equuli equuli,426051006,Bacteria,Actinobacillus,equuli
A.EQUH,Actinobacillus equuli haemolyticus,425589003,Bacteria,Actinobacillus,equuli
ACBHOM,Actinobacillus hominis,43638004,Bacteria,Actinobacillus,hominis
A.LIG,Actinobacillus lignieresii,78043002,Bacteria,Actinobacillus,lignieresii
A.LIL,Actinobacillus lignieresii,78043002,Bacteria,Actinobacillus,lignieresii
ACBLIG,Actinobacillus lignieresii,78043002,Bacteria,Actinobacillus,lignieresii
ALI,Actinobacillus lignieresii,78043002,Bacteria,Actinobacillus,lignieresii
A.PLE,Actinobacillus pleuropneumoniae,116382001,Bacteria,Actinobacillus,pleuropneumoniae
AC/PA,Actinobacillus pleuropneumoniae,116382001,Bacteria,Actinobacillus,pleuropneumoniae
APL,Actinobacillus pleuropneumoniae,116382001,Bacteria,Actinobacillus,pleuropneumoniae
HAEPLE,Actinobacillus pleuropneumoniae,116382001,Bacteria,Actinobacillus,pleuropneumoniae
A.SEM,Actinobacillus seminis,84269000,Bacteria,Actinobacillus,seminis
ACBSEM,Actinobacillus seminis,84269000,Bacteria,Actinobacillus,seminis
ATS,Actinobacillus seminis,84269000,Bacteria,Actinobacillus,seminis
AC.SUI,Actinobacillus suis,112272003,Bacteria,Actinobacillus,suis
ACBSUI,Actinobacillus suis,112272003,Bacteria,Actinobacillus,suis
ASU,Actinobacillus suis,112272003,Bacteria,Actinobacillus,suis
A.URE,Actinobacillus ureae,1839009,Bacteria,Actinobacillus,ureae
AUR,Actinobacillus ureae,1839009,Bacteria,Actinobacillus,ureae
PASLSP,Actinobacillus ureae,1839009,Bacteria,Actinobacillus,ureae
PASURE,Actinobacillus ureae,1839009,Bacteria,Actinobacillus,ureae
APS.SP,Actinopolyspora,426973001,Bacteria,Actinopolyspora,
AVB,Acetivibrio,72806006,Bacteria,Acetivibrio,
AVBSPP,Acetivibrio,72806006,Bacteria,Acetivibrio,
1600,Aerococcus,9008009,Bacteria,Aerococcus,
AEC,Aerococcus,9008009,Bacteria,Aerococcus,
AEC.SP,Aerococcus,9008009,Bacteria,Aerococcus,
